khet_th,khet_en,zone_id,zone_name
พระนคร,Phra Nakhon,SL,สีลม
ดุสิต,Dusit,SL,สีลม
ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,SL,สีลม
สัมพันธวงศ์,Samphanthawong,SL,สีลม
บางรัก,Bang Rak,SL,สีลม
สาทร,Sathon,SL,สีลม
ยานนาวา,Yan Nawa,SL,สีลม
บางคอแหลม,Bang Kho Laem,SL,สีลม
ปทุมวัน,Pathum Wan,SL,สีลม
ราชเทวี,Ratchathewi,SL,สีลม
พญาไท,Phaya Thai,SL,สีลม
บางซื่อ,Bang Sue,SL,สีลม
ลาดพร้าว,Lat Phrao,LP,ลาดพร้าว
วังทองหลาง,Wang Thonglang,LP,ลาดพร้าว
บางกะปิ,Bang Kapi,LP,ลาดพร้าว
ห้วยขวาง,Huai Khwang,LP,ลาดพร้าว
บึงกุ่ม,Bueng Kum,LP,ลาดพร้าว
วัฒนา,Vadhana,TL,ทองหล่อ
คลองเตย,Khlong Toei,TL,ทองหล่อ
พระโขนง,Phra Khanong,TL,ทองหล่อ
สวนหลวง,Suan Luang,TL,ทองหล่อ
บางนา,Bang Na,TL,ทองหล่อ
ประเวศ,Prawet,TL,ทองหล่อ
จตุจักร,Chatuchak,SL,สีลม
ดินแดง,Din Daeng,LP,ลาดพร้าว
สะพานสูง,Saphan Sung,TL,ทองหล่อ
คันนายาว,Khan Na Yao,LP,ลาดพร้าว
